IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive
2025;a81e03a3-de18-48e4-93bf-f8da83a17927;Border Fire;off Tin Can Canyon along the border in Otay Mesa;32.557566;-116.8663;22;100%;;San Diego;2019-05-19 09:26:00;2019-05-13;CAL FIRE/San Diego County Fire;;https://www.fire.ca.gov/incidents/2019/5/13/border-fire/;N;
2026;e98603d2-f44e-4a9e-b83d-5e9f94766b53;Shady Fire;off Airport Boulevard and Shady Lane in Thermal, southwest of Coachella;33.650237;-116.172534;130;100%;;Riverside;2019-05-24 14:23:00;2019-05-18;CAL FIRE/Riverside County Fire Department;;https://www.fire.ca.gov/incidents/2019/5/18/shady-fire/;N;
2027;aed86291-4631-4d79-ba5f-6b2c8ca399c9;Paskenta Fire;Paskenta Rd and Canal View Road, northwest of Corning;39.98097;-122.30737;63;100%;;Tehama;2019-05-24 14:23:00;2019-05-20;CAL FIRE Tehama-Glenn Unit;;https://www.fire.ca.gov/incidents/2019/5/20/paskenta-fire/;N;
2028;9d7c5ad0-6682-430a-b4d1-d39cfea73a29;Foothill Fire;Off Foothill Avenue & Orange Avenue, in Nuevo;33.81678;-117.18194;26;100%;;Riverside;2019-05-24 14:23:00;2019-05-20;CAL FIRE / Riverside County Fire;;https://www.fire.ca.gov/incidents/2019/5/20/foothill-fire/;N;
2029;e2d77e59-b831-4267-a50b-89ede499a885;Belmont Fire;Belmont & Costa Mesa Rd, In California Valley;35.30759;-119.96498;835;100%;;San Luis Obispo;2019-06-03 08:44:00;2019-05-29;CAL FIRE San Luis Obispo Unit;;https://www.fire.ca.gov/incidents/2019/5/29/belmont-fire/;N;
2030;72cb3684-c194-4180-bdfe-22775f86a594;Hill Fire; S. Hills Valley Road, north of Orange Cove;36.66909;-119.3046;121;100%;;Fresno;2019-06-05 15:07:00;2019-05-29;CAL FIRE / Fresno County Fire;;https://www.fire.ca.gov/incidents/2019/5/29/hill-fire/;N;
2031;e354cde8-d0e6-4150-9f6b-1c12045e77d0;Diversion Fire;Near the Intersection of Highway 95 and 2nd Avenue, in Blythe;33.69078;-114.57265;45;100%;;Riverside;2019-06-03 08:48:00;2019-05-30;CAL FIRE/ Riverside County Fire;;https://www.fire.ca.gov/incidents/2019/5/30/diversion-fire/;N;
2032;329ac0b8-a2c1-4a72-bd09-dd86c477162b;Canyon Fire;Off Del Puerto Canyon Rd & Diablo Grande Pkwy, west of Patterson;37.45899;-121.22093;144;100%;;Santa Clara;2019-06-11 14:40:00;2019-05-30;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2019/5/30/canyon-fire/;N;
2033;b4616173-5807-4c04-a416-5374139f3fcc;66 Fire;Off Avenue 66 in Thermal;33.57039;-116.1466;55;100%;;Riverside;2019-06-24 11:46:00;2019-05-29;Bureau of Indian Affairs;;https://www.fire.ca.gov/incidents/2019/5/29/66-fire/;N;
2034;812a492e-35cb-4bb0-9e5a-1ec181d8b97e;Spruce Fire;Off Spruce Rd & Myer Dr, east of Exeter;36.28001;-119.10974;155;100%;;Tulare;2019-06-11 14:48:00;2019-06-01;CAL FIRE Tulare Unit;;https://www.fire.ca.gov/incidents/2019/6/1/spruce-fire/;N;
2035;11e0324e-e8ff-4591-b592-9e704ade60d6;Citrus Fire;Off Rd 256 & Ave 220, east of Strathmore;36.18479;-118.99229;257;100%;;Tulare;2019-06-11 14:48:00;2019-06-02;CAL FIRE Tulare Unit;;https://www.fire.ca.gov/incidents/2019/6/2/citrus-fire/;N;
2036;db2a5b4c-260b-4888-aeb3-663b8bf41106;Yokohl Fire;off of Yokohl Drive in Tulare County ;36.23012;-118.85712;33;100%;;Tulare;2019-06-04 16:03:00;2019-06-03;CAL FIRE Tulare Unit;;https://www.fire.ca.gov/incidents/2019/6/3/yokohl-fire/;N;
2037;e1f34f39-beea-4a6d-9ba6-64b6b55ff567;Bear Fire;Off of Balch Park Rd in Springville;36.14246;-118.80582;25;100%;;Tulare;2019-06-11 14:48:00;2019-06-03;CAL FIRE Tulare Unit;;https://www.fire.ca.gov/incidents/2019/6/3/bear-fire/;N;
2038;107dd529-31b8-4b5f-ab09-4aa79c770d4b;Boulder Fire;off Highway 58 and Boulder Creek Road, California Valley;35.343761;-119.913717;1,075;100%;;San Luis Obispo;2022-10-21 13:48:23;2019-06-05;CAL FIRE San Luis Obispo Unit;;https://www.fire.ca.gov/incidents/2019/6/5/boulder-fire/;N;
2039;2e71d51a-49f1-4e86-82e2-054637efd1a5;Willow Fire;Highway 4 and Willow Pass Rd, 2 miles west of Bay Point;38.02503;-121.9763;23;100%;;Contra Costa;2019-06-11 14:47:00;2019-06-06;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2019/6/6/willow-fire/;N;
2040;b433dceb-f5b4-4b46-8eb3-2aae9fc2d45a;Nelson Fire ;Cordelia Road and Link Road ;38.21416;-122.12214;24;100%;;Solano;2019-06-17 08:49:00;2019-06-07;City of Fairfield;;https://www.fire.ca.gov/incidents/2019/6/7/nelson-fire/;N;
2041;24997ef5-a558-4ea6-8a96-b3cdff79fe2b;Watt Fire;Watt Ave near Baseline Road ;38.75263;-121.39259;27;100%;;Placer;2019-06-11 14:50:00;2019-06-07;CAL FIRE Nevada-Yuba-Placer Unit ;;https://www.fire.ca.gov/incidents/2019/6/7/watt-fire/;N;
2042;8edf51ea-1e4f-4e73-8e04-e168417ed39b;Stuhr Fire;Interstate 5 and Pete Miller Road, southwest of Newman;37.25988;-121.09375;581;100%;;Stanislaus;2022-10-21 13:48:50;2019-06-07;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2019/6/7/stuhr-fire/;N;
2043;3fd43a39-4e82-4b7e-a642-be86b5c73522;Levee Fire;Highway 20 & E 22nd Street, in Marysville;39.15641;-121.56363;70;100%;;Yuba;2019-06-17 08:34:00;2019-06-08;City of Marysville;;https://www.fire.ca.gov/incidents/2019/6/8/levee-fire/;N;
2044;1760d7f8-57a2-4a04-b7e5-0861cc0ee963;Sand Fire;Guinda;38.88978;-122.23922;2,220;100%;;Yolo;2022-10-21 13:49:13;2019-06-08;CAL FIRE Sonoma-Lake-Napa Unit;;https://www.fire.ca.gov/incidents/2019/6/8/sand-fire/;N;
2045;78c1dacb-653a-42fe-b025-ab80ec4996bd;Ink Fire;Pope Valley Rd, northeast of Calistoga;38.63047;-122.47282;50;100%;;Napa;2019-06-17 08:46:00;2019-06-08;CAL FIRE Sonoma-Lake-Napa Unit;;https://www.fire.ca.gov/incidents/2019/6/8/ink-fire/;N;
2046;23cee99c-662f-4409-80d0-b9eb3a6287b3;West Butte Fire;North Butte Rd & West Butte Rd, northeast of Colusa;39.28926;-121.85906;1,350;100%;;Sutter;2019-06-17 15:16:00;2019-06-08;Sutter County Fire Department;;https://www.fire.ca.gov/incidents/2019/6/8/west-butte-fire/;N;
2047;88a285bc-0dc7-4c51-a35a-5026850b0a6d;McMillan Fire;Highway 46 East and McMillan Canyon Road, North of Shandon;35.66318;-120.41128;1,763;100%;;San Luis Obispo;2022-10-21 13:49:52;2019-06-12;CAL FIRE San Luis Obispo County ;;https://www.fire.ca.gov/incidents/2019/6/12/mcmillan-fire/;N;
2048;6f509c42-9d2b-45df-b705-02dcb9147dde;Malech Fire;Malech Rd & Bailey Rd, South San Jose;37.21638;-121.70768;210;100%;;Santa Clara;2019-06-11 17:17:00;2019-06-09;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2019/6/9/malech-fire/;N;
2049;0cd5a369-2f91-4786-9df1-98ece3e9e78c;Calaveras Fire ;Calaveras Road and Weller Road East of Milpitas;37.44422;-121.84082;35;100%;;Santa Clara;2019-06-17 08:46:00;2019-06-10;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2019/6/10/calaveras-fire/;N;
2050;20ccd7ec-de69-4967-9877-db5e143fe99a;Ardo Fire;near San Ardo;35.97059;-120.88241;43;100%;;Monterey;2019-06-17 08:46:00;2019-06-12;CAL FIRE San Benito - Monterey Unit;;https://www.fire.ca.gov/incidents/2019/6/12/ardo-fire/;N;
2051;b671965d-2369-4107-98fe-432eab6ffdc0;Springs Fire;Off Mountain Road 56 East of Ducor ;35.89593;-118.94106;47;100%;;Tulare;2019-06-11 17:18:00;2019-06-10;CAL FIRE Tulare Unit ;;https://www.fire.ca.gov/incidents/2019/6/10/springs-fire/;N;
2052;e1e4dad4-7ea6-48ec-b34d-3128cf55cc43;Bitter Fire ;Bitterwater Road East of Paso Robles;35.57376;-120.11738;120;100%;;San Luis Obispo;2019-06-11 17:18:00;2019-06-10;CAL FIRE San Luis Obispo Unit;;https://www.fire.ca.gov/incidents/2019/6/10/bitter-fire/;N;
2053;77671ac0-0868-4cc9-a699-26f0131cd493;Pauma Fire;Highway 76 and Pauma Valley Road ;33.30267;-116.97772;15;100%;;San Diego;2019-06-24 11:44:00;2019-06-10;CAL FIRE / San Diego County Fire;;https://www.fire.ca.gov/incidents/2019/6/10/pauma-fire/;N;
2054;921a69d2-ddde-4fd8-a874-f5ba15a4edd2;32 Fire;Humboldt Road and Highway 32;39.76242;-121.73659;17;100%;;Butte;2019-06-24 11:06:00;2019-06-15;CAL FIRE Chico Butte Unit;;https://www.fire.ca.gov/incidents/2019/6/15/32-fire/;N;
2055;45cad03f-97e7-4301-92e2-e63a0040913a;Rocky Fire;Rocky Rd and Harry Cash Rd, 9 miles east of Grenada ;41.64895;-122.35962;17;100%;;Siskiyou;2019-06-17 10:39:00;2019-06-14;CAL FIRE Siskiyou;;https://www.fire.ca.gov/incidents/2019/6/14/rocky-fire/;N;
2056;fe63d965-9069-4a96-b9da-99d5fefdaa19;IronGate Fire;Deer Run Road, east of Iron Gate Reservoir;41.94622;-122.40157;10;100%;;Siskiyou;2019-07-03 13:12:42;2019-06-16;CAL FIRE Siskiyou Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/6/16/irongate-fire/;N;
2057;779c4b9a-19bf-487f-ba65-6589aea27420;Weisgarber Fire;one mile west of the DeLuz gate, Camp Pendleton;33.39684;-117.29665;120;100%;;San Diego;2019-06-21 14:22:00;2019-06-20;Camp Pendleton;;https://www.fire.ca.gov/incidents/2019/6/20/weisgarber-fire/;N;
2058;48d3b3c4-fcf5-47d9-920f-3b3c1b0f6fb1;Lumgrey Fire;off Highway 96 and Lumgrey Road, West of Gottsville;39.28926;-121.85906;207;100%;;Siskiyou;2019-06-24 16:56:00;2019-06-17;USFS Klamath National Forest;;https://www.fire.ca.gov/incidents/2019/6/17/lumgrey-fire/;N;
2059;8c666963-1f9d-43c6-bc3a-cab623d81f27;Jerry Fire;off Gilman Springs Road, between Highway 60 and Jack Rabbit Trail;33.919507;-117.103765;500;100%;;Riverside;2022-10-21 13:50:06;2019-06-21;CAL FIRE/Riverside County Fire Department;;https://www.fire.ca.gov/incidents/2019/6/21/jerry-fire/;N;
2060;bc5d73ab-3100-4117-9978-a99b8e3daf5c;Mountain Fire;off Grant Line Rd and Mountain House Rd;37.75427;-121.57382;30;100%;;Alameda;2019-06-24 11:06:00;2019-06-21;Alameda County Fire;;https://www.fire.ca.gov/incidents/2019/6/21/mountain-fire/;N;
2061;50328016-5e03-4e90-bff0-95d36942728f;Paskenta Fire;off Corning Road and Paskenta Road, West of Corning;39.97083;-122.48277;46;100%;;Tehama;2019-06-24 11:43:00;2019-06-22;CAL FIRE Tehama - Glenn Unit;;https://www.fire.ca.gov/incidents/2019/6/22/paskenta-fire/;N;
2062;937f9f26-8d23-4ee7-a0f3-61313dcc63f3;Scott Fire;off Scott Forbes Rd, 5 miles east of Browns Valley;39.24678;-121.32399;80;100%;;Yuba;2019-06-27 08:24:28;2019-06-24;CAL FIRE Nevada-Yuba-Placer Unit;;https://www.fire.ca.gov/incidents/2019/6/24/scott-fire/;N;
2063;4edb5c7c-08d6-4ae0-b8b3-7bb471e26d8e;Rock Fire;Del Puerto Canyon Rd, east of Patterson  ;37.46577;-121.28312;2,420;100%;;Stanislaus;2022-10-21 13:51:14;2019-06-25;CAL FIRE ;;https://www.fire.ca.gov/incidents/2019/6/25/rock-fire/;N;
2064;35ba5eb8-520f-4660-af60-9e0e00e7b42b;Lonoak Fire;Lonoak Rd & Airline Hwy, East of King City  ;36.28426;-120.94771;2,546;100%;;Monterey;2022-10-21 13:50:31;2019-06-25;CAL FIRE San Benito-Monterey Unit;;https://www.fire.ca.gov/incidents/2019/6/25/lonoak-fire/;N;
2065;2f3e47bb-8595-4c9f-bfa6-6fd76e465c12;Trinity Fire;Trinity Alps Vista Road and Bland Road, southwest of Ono;40.41404;-122.66779;90;100%;;Shasta;2019-06-26 15:41:37;2019-06-26;CAL FIRE Shasta-Trinity Unit;;https://www.fire.ca.gov/incidents/2019/6/26/trinity-fire/;N;
2066;7a0029c7-64c8-442d-8c7a-080a553e2b8e;Mines Fire;Mines Road and Turner Gulch in the San Antone Valley. ;37.494136;-121.534827;17;100%;;Santa Clara;2019-06-30 15:51:33;2019-06-26;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2019/6/26/mines-fire/;N;
2067;ac723863-413e-43f8-b4b6-2311e81e36ae;Dyer Fire;Watt Ave & Dyer Road, northeast of Rio Linda;38.73817;-121.39419;148;100%;;Placer;2019-06-27 08:36:32;2019-06-26;CAL FIRE Nevada-Yuba-Placer Unit;;https://www.fire.ca.gov/incidents/2019/6/26/dyer-fire/;N;
2068;c6e38284-336a-4435-a3a1-b2b91ee84a91;Nuevo Fire;Nuevo Road and Menifee Road;33.80493;-117.15738;20;100%;;Riverside;2019-06-30 15:51:46;2019-06-27;CAL FIRE/Riverside County Fire Department;;https://www.fire.ca.gov/incidents/2019/6/27/nuevo-fire/;N;
2069;b38c0563-b321-431b-9174-6336c5a0d449;Long Fire;Off of  Long Point Road and Old Mill Road, Southeast of Camptonville in Nevada County ;39.40972222;-121.00055556;2;100%;;Nevada;2019-06-30 15:52:01;2019-06-28;CAL FIRE Nevada-Yuba-Placer Unit ;;https://www.fire.ca.gov/incidents/2019/6/28/long-fire/;N;
2070;c51a2db5-6d0b-4b4a-8692-a6d73714829f;Otay Fire;East of the Lower Otay Reservoir, East of Chula Vista;32.62305556;-116.91416667;28;100%;;San Diego;2019-07-01 13:10:46;2019-06-29;CAL FIRE San Diego County Fire Unit;;https://www.fire.ca.gov/incidents/2019/6/29/otay-fire/;N;
2071;24d9c2ae-8b11-4536-9b9c-5f4e0d476af0;Wolf Fire ;Off of Lamb Canyon Road and California Avenue, Southeast of Beaumont;33.911;-116.980528;214;100%;;Riverside;2019-07-01 13:10:39;2019-06-29;CAL FIRE / Riverside County Fire;;https://www.fire.ca.gov/incidents/2019/6/29/wolf-fire/;N;
2072;cc06431a-5153-4f66-8ada-07af53c175c3;Merced Fire ;Off of Merced Fall Road and La Grange Road, East of Snelling;37.312877;-120.242411;210;100%;;Merced;2019-07-08 07:51:01;2019-06-29;CAL FIRE Madera- Mariposa- Merced Unit ;Wildfire;https://www.fire.ca.gov/incidents/2019/6/29/merced-fire/;N;
2073;42e2b6f0-2d63-4fbf-bbb4-4fc2eda4805d;Mayberry Fire ;Off Craig Access Road, Near Lake Oroville ;39.32889;-121.23431;12;100%;;Butte;2019-06-30 15:52:19;2019-06-29;CAL FIRE Butte County Fire Unit ;;https://www.fire.ca.gov/incidents/2019/6/29/mayberry-fire/;N;
2075;be4489fb-f51f-4109-8132-c7a28e0d9995;Coyote Fire;Northbound US 101 at Coyote Creek Golf Drive in San Jose;37.18904;-121.694968;74;100%;;Santa Clara;2019-07-08 07:51:09;2019-07-02;San Jose Fire;Wildfire;https://www.fire.ca.gov/incidents/2019/7/2/coyote-fire/;N;
2076;89db8bb4-6e3b-4de7-b7d9-287c1a9032c0;Hollow Fire;West Corral Hollow Road, Carnegie State Vehicular Recreational Area, southwest of Tracy;37.63206;-121.538382;283;100%;;San Joaquin;2019-07-08 07:50:42;2019-07-03;CAL FIRE Santa Clara Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/3/hollow-fire/;N;
2077;65e8fbe1-5300-4c90-9f48-0e7bfe55b1bc;Bikeway Fire;Christensen Road, Near Bethany Reservoir ;37.469;-121.3697;25;100%;;Alameda;2019-07-05 09:46:01;2019-07-05;CAL FIRE Santa Clara Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/5/bikeway-fire/;N;
2078;bc3e7037-5022-4e6a-8a1f-925c7e9aafc8;Fellow Fire; Franklin Canyon Rd. ;37.99837;-122.16201;24;100%;;Contra Costa;2019-07-08 07:51:17;2019-07-05;CAL FIRE Santa Clara Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/5/fellow-fire/;N;
2079;65330473-c21f-446b-a6f4-7bd76bf0ebdc;Ranch Fire;Near Yolla Bolla Rd & Roaring Creek in Igo;40.41741;-122.767256;30;100%;;Shasta;2019-07-08 07:51:24;2019-07-05;CAL FIRE Shasta-Trinity Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/5/ranch-fire/;N;
2080;0f965f2f-3977-4ba5-bf7c-29feef27ee82;Snowstorm Fire;Snowstorm Rd, south of Ravendale;40.679318;-120.392768;263;100%;;Lassen;2019-07-08 07:49:17;2019-07-05;Susanville Bureau of Land Management;Wildfire;https://www.fire.ca.gov/incidents/2019/7/5/snowstorm-fire/;N;
2081;2d3b577c-7b58-4ee3-9e21-cbec5abd8ce4;Far Fire;Camp Far West rd & Nisenan Ln, northeast of Wheatland;39.06066;-121.35014;38;100%;;Yuba;2019-07-08 07:51:32;2019-07-06;CAL FIRE Nevada-Yuba-Placer Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/6/far-fire/;N;
2082;6be8378d-9a89-40a3-bc66-4fc0ab22ebc2;Lake Fire;McSwain Entrance and Lake McClure Rd, Hornitos;37.524378;-120.296551;244;100%;;Mariposa;2019-07-15 18:34:14;2019-07-08;CAL FIRE Madera-Mariposa-Merced Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/8/lake-fire/;N;
2083;1fd11e53-a132-4b89-bc8f-f7061f685ad3;Gillis Fire;Gillis Canyon and South East of Shandon;35.6311111;-120.2691666;1,010;100%;;San Luis Obispo;2022-10-21 13:51:35;2019-07-08;CAL FIRE San Luis Obispo Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/8/gillis-fire/;N;
2085;f32eaf92-82dc-4c31-8a05-76c21845f078;Sargent Fire;Sargent Canyon Road and Sheep Canyon, San Ardo Oil Fields;35.95191;-120.8092;190;100%;;Monterey;2019-07-10 16:05:08;2019-07-09;CAL FIRE San Benito-Monterey Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/9/sargent-fire/;N;
2086;6564081d-5ce7-4330-8ad7-2d1d976d778a;Gibbel Fire ;Off of Girard Street and Quiet Hills Drive ;33.69055556;-116.953889;20;100%;;Riverside;2019-07-12 08:27:20;2019-07-11;CAL FIRE Riverside County Fire Department ;Wildfire;https://www.fire.ca.gov/incidents/2019/7/11/gibbel-fire/;N;
2087;8c46fde6-7a1c-482b-97cc-afff1bc5d27c;Border Fire;Off of Cottonwood Creak and Barrett Truck Trail along the US/Mexico border;32.566389;-116.7525;100;100%;;San Diego;2019-07-15 21:56:00;2019-07-12;CAL FIRE San Diego County Fire ;Wildfire;https://www.fire.ca.gov/incidents/2019/7/12/border-fire/;N;
2088;6311a921-f8e9-45c1-b10d-fee8be8dae29;Lincoln Fire;Lincoln St and Ave 66, Mecca, 6 miles south of Coachella;33.56938;-116.07896;80;100%;;Riverside;2019-07-17 14:04:28;2019-07-12;CAL FIRE Riverside Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/12/lincoln-fire/;N;
2089;3fc9ae75-8844-43a5-8330-6956cdb6e3a7;Mid Fire;patterson pass and mid way, eastern;37.093243;-121.586846;22;100%;;Alameda;2019-07-15 18:38:20;2019-07-12;CAL FIRE SCU;Wildfire;https://www.fire.ca.gov/incidents/2019/7/12/mid-fire/;N;
2090;ab6d9c8e-5fbb-4a0d-a206-30e83ab51877;Horse Fire;Blue Horse Rd and Saddle Trail, 2 miles NW of Olinda;40.463936;-122.435492;30;100%;;Shasta;2019-07-15 21:56:18;2019-07-12;CAL FIRE Shasta-Trinity Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/12/horse-fire/;N;
2091;777caabb-3850-4db2-ba02-2d95fda38db6;Orange fire;27000 block of Orange Avenue in Nuevo;33.8128372;-117.1228851;96;100%;;Riverside;2019-07-15 18:33:50;2019-07-13;CAL FIRE / Riverside County Fire;Wildfire;https://www.fire.ca.gov/incidents/2019/7/13/orange-fire/;N;
2092;3086ac2b-bbb3-4321-81e3-3cfdb9e571e9;Jasper Fire;Chimney Rd and Barrel Springs Rd, 2 miles North of Sun Valley Nevada;39.631945;-119.769881;1,165;100%;;State of Nevada;2019-09-26 14:50:02;2019-07-13;CAL FIRE NEU;Wildfire;https://www.fire.ca.gov/incidents/2019/7/13/jasper-fire/;N;
2093;0ab090de-1ec9-41db-b6cf-c7acd370626a;Doyle Fire;Off Old Highway and Cowboy Joe Road, Northwest of Doyle;40.072739;-120.158273;193;100%;;Lassen;2019-09-26 14:49:49;2019-07-14;Bureau of Land Management;Wildfire;https://www.fire.ca.gov/incidents/2019/7/14/doyle-fire/;N;
2094;c1574fd4-92ca-400f-84cb-b10f18ebb4bd;South Fire ;Off of South Mountain Rd and Balcom Canyon Road East of Santa Paula;34.366111;-118.96;131;100%;;Ventura;2019-07-15 21:55:43;2019-07-14;CAL FIRE San Luis Obispo ;Wildfire;https://www.fire.ca.gov/incidents/2019/7/14/south-fire/;N;
2095;a03c52ec-7366-43c5-965e-52e2b73df452;Milton Fire ;Off of Milton Road and Highway 4, North of Oakdale ;37.944751;-120.84372;202;100%;;Stanislaus;2019-07-16 14:08:35;2019-07-15;CAL FIRE Tuolumne-Calaveras Unit ;Wildfire;https://www.fire.ca.gov/incidents/2019/7/15/milton-fire/;N;
2096;42dab7c3-458f-4838-b70f-d5bb3d0f0b80;Aborn Fire;Off Aborn Road and Murillo Avenue, East San Jose ;37.32555556;-121.76444444;47;100%;;Santa Clara;2019-07-15 21:55:31;2019-07-15;CAL FIRE Santa Clara Unit ;Wildfire;https://www.fire.ca.gov/incidents/2019/7/15/aborn-fire/;N;
2097;f2629bc3-1c8c-4a97-95fa-7d08566dc246;Madera Fire ;Off Road 33 and Highway 145, Bonadelle;37.016944;-119.934167;213;100%;;Madera;2019-07-16 14:08:48;2019-07-15;CAL FIRE Madera-Mariposa-Merced Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/15/madera-fire/;N;
2098;72384606-035c-4d00-8887-84a9da7d0e57;Meadow Fire;Highway 371 near Lake Riverside Drive;33.514658;-116.7884;81;100%;;Riverside;2019-07-18 06:37:29;2019-07-16;CAL FIRE / Riverside County Fire;Wildfire;https://www.fire.ca.gov/incidents/2019/7/16/meadow-fire/;N;
2099;12528e0f-03e0-4598-8df0-e3017fa7382a;Whiskey Fire;west Lower Jones Road, west of the Community of Slough ;37.962557;-121.468074;90;100%;;San Joaquin;2019-07-18 06:37:51;2019-07-16;CAL FIRE Santa Clara Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/16/whiskey-fire/;N;
2100;d5ebf295-49d5-4a6a-ae13-47a921355e19;Goose 2 Fire;Off Highway 395 and South Willow Ranch Road, West of Fort Bidwell ;41.909;-120.306;128;100%;;Modoc;2019-09-26 14:49:37;2019-07-17;Modoc National Forest;Wildfire;https://www.fire.ca.gov/incidents/2019/7/17/goose-2-fire/;N;
2101;06fa2750-afea-4f88-b1c4-48b9bc21f4eb;Vista Fire;Off Vista De La Montana in the Dehesa area;32.794768;-116.839743;25;100%;;San Diego;2019-07-18 15:58:48;2019-07-17;CAL FIRE / San Diego County Fire;Wildfire;https://www.fire.ca.gov/incidents/2019/7/17/vista-fire/;N;
2102;900997e0-f30a-48bf-9358-971ca2afa1d6;Rains Fire;Frank Raines Park on Del Puerto Canyon Road, west of Patterson;37.420988;-121.371276;35;100%;;Stanislaus;2019-07-18 13:02:21;2019-07-18;CAL FIRE Santa Clara Unit;Wildfire;https://www.fire.ca.gov/incidents/2019/7/18/rains-fire/;N;
